Rank,Word,Count
 1,which,6412646
 2,first,4840311
 3,their,4339413
 4,after,4204053
 5,other,3004434
 6,there,2553647
 7,would,2102544
 8,later,2051542
 9,where,2042679
10,world,1918571
11,about,1862871
12,state,1829694
13,three,1818763
14,while,1809191
15,under,1749319
16,known,1736899
17,these,1648336
18,being,1571014
19,south,1504540
20,early,1498143
21,until,1411078
22,since,1393061
23,north,1328862
24,album,1291004
25,music,1285930
26,group,1280263
27,house,1136279
28,march,1093798
29,found,1053066
30,began,1039386
31,place,975489
32,river,917879
33,local,903455
34,along,876966
35,party,875473
36,could,863489
37,built,853049
38,major,833377
39,final,829801
40,death,808392
41,small,793974
42,large,767345
43,order,760885
44,third,759173
45,those,757264
46,still,731854
47,among,706155
48,often,697514
49,again,659103
50,water,658084
51,great,654776
52,court,643683
53,power,623806
54,title,607907
55,award,605415
56,white,597084
57,given,592782
58,total,582959
59,using,581159
60,field,550486
61,black,547728
62,point,540451
63,union,533581
64,young,528547
65,royal,522446
66,radio,519563
67,force,514327
68,wrote,507437
69,women,507038
70,every,498350
71,board,485960
72,round,483408
73,level,481886
74,video,466293
75,match,459368
76,event,455955
77,right,452766
78,short,448608
79,story,442459
80,debut,438374
81,route,426481
82,never,420917
83,class,416341
84,track,415404
85,media,410776
86,human,406019
87,style,402477
88,coach,384927
89,taken,383095
90,seven,381650
91,refer,374084
92,study,373864
93,stage,373412
94,range,371369
95,chief,371345
96,civil,363637
97,light,363410
98,night,353721
99,space,352995
100,china,351608
101,front,349217
102,model,340064
103,close,333944
104,eight,331303
105,above,329783
106,today,329354
107,grand,327744
108,coast,323964
109,green,318334
110,lower,316264
111,least,314025
112,prior,297813
113,whose,297152
114,start,289801
115,trade,284628
116,below,283783
117,medal,281902
118,novel,280335
119,staff,280219
120,money,276525
121,child,272084
122,spent,264490
123,plant,258087
124,brown,255383
125,older,254479
126,sound,253147
127,press,252701
128,woman,252130
129,youth,249829
130,legal,244512
131,rural,244165
132,stone,233593
133,going,233092
134,cross,232487
135,smith,232316
136,chart,230728
137,issue,227212
138,score,221266
139,cover,221036
140,shown,219284
141,upper,218925
142,movie,216611
143,train,210909
144,fight,209771
145,actor,207745
146,dance,207697
147,prime,206304
148,saint,205814
149,creek,204386
150,heart,202943
151,fifth,201670
152,month,201090
153,heavy,198909
154,minor,198314
155,hotel,193317
156,queen,193184
157,might,192325
158,prize,192139
159,cause,189466
160,daily,189043
161,serve,188272
162,leave,187874
163,tower,187106
164,rugby,186120
165,whole,185889
166,dutch,185301
167,allow,185067
168,mayor,184653
169,value,182493
170,speed,181046
171,drama,180682
172,label,178702
173,scene,177084
174,earth,176749
175,beach,175520
176,peace,175368
177,voice,174522
178,naval,174179
179,urban,173777
180,paper,171497
181,basis,170900
182,metal,167319
183,judge,167246
184,focus,165550
185,super,165146
186,fleet,164867
187,opera,164092
188,grade,163316
189,reach,161828
190,mount,160055
191,store,159925
192,trial,159447
193,drive,159136
194,build,158359
195,clear,156184
196,floor,154999
197,blood,154285
198,alone,153275
199,block,151590
200,frank,149851
201,joint,149820
202,color,149499
203,draft,147842
204,honor,146323
205,table,145844
206,guard,145157
207,twice,144665
208,basic,142484
209,share,142185
210,offer,141812
211,birth,141686
212,split,140134
213,image,139680
214,owner,139518
215,grant,139090
216,newly,137680
217,sport,137260
218,tried,136429
219,sixth,136228
220,horse,135699
221,theme,135683
222,price,135243
223,crime,132798
224,fully,132258
225,squad,132215
226,bring,129681
227,visit,129578
228,labor,129074
229,break,129051
230,agent,128122
231,steel,127747
232,ocean,126960
233,claim,126473
234,trust,126235
235,guest,125378
236,storm,123630
237,crown,123571
238,stock,123092
239,broke,122835
240,brand,122094
241,sense,121908
242,entry,121178
243,phase,121078
244,piece,119703
245,adult,117988
246,meant,113540
247,begin,112156
248,enemy,111382
249,canal,111032
250,pilot,110506
251,glass,110131
252,doing,109833
253,write,109489
254,think,109149
255,stand,108635
256,count,107912
257,scale,106829
258,quite,106570
259,carry,106385
260,occur,105656
261,piano,105520
262,heard,105194
263,shape,103775
264,exist,102725
265,motor,102492
266,comic,102043
267,avoid,101571
268,harry,101192
269,trail,100539
270,enter,99479
271,equal,98413
272,chair,97563
273,arena,95329
274,ahead,93975
275,chose,93727
276,chain,92953
277,cycle,91122
278,brief,91043
279,reign,90175
280,apart,89244
281,faith,88284
282,drawn,87396
283,worth,86885
284,extra,86319
285,stood,85479
286,brain,83087
287,broad,82856
288,magic,81304
289,ridge,80489
290,guide,80449
291,inner,79910
292,steam,79741
293,watch,79327
294,brick,79111
295,frame,78535
296,shore,78129
297,dream,76842
298,limit,76371
299,thing,76210
300,cable,76142
301,metro,76119
302,raise,75801
303,solar,75737
304,rapid,74787
305,welsh,73888
306,plane,73114
307,audio,72886
308,learn,72713
309,basin,72542
310,mouth,72366
311,speak,72210
312,tribe,72167
313,abbey,71896
314,grown,71878
315,uncle,71847
316,truth,71657
317,vocal,71554
318,roger,71403
319,solid,69001
320,shell,68711
321,index,68478
322,rival,68410
323,hence,68350
